country_x,percentile,value,iso3,country_y,gdp_pc_ppp,pop,avg_income,ln_inc,weight,rho_eff,ln_rho_eff
AU,p60p70,0.1025,AUS,Australia,60029.1329190733,26018721.0,61529.86124205013,11.027277884605228,2601872.1,0.24142242497038002,-1.4212070791469775
AU,p70p80,0.1262,AUS,Australia,60029.1329190733,26018721.0,75756.7657438705,11.235283036133877,2601872.1,0.24142242497038002,-1.4212070791469775
AU,p80p90,0.1629,AUS,Australia,60029.1329190733,26018721.0,97787.45752517041,11.490551601634765,2601872.1,0.24142242497038002,-1.4212070791469775
AU,p90p100,0.3517,AUS,Australia,60029.1329190733,26018721.0,211122.46047638083,12.260193625506702,2601872.1,0.24142242497038002,-1.4212070791469775
AW,p0p10,0.0013,ABW,Aruba,38979.8358245412,107310.0,506.7378657190356,6.227993839745042,10731.0,0.00040947134508417804,-7.800643632493953
AW,p10p20,0.0124,ABW,Aruba,38979.8358245412,107310.0,4833.499642243109,8.483326047888543,10731.0,0.004287840753022465,-5.4519719937245155
AW,p20p30,0.0269,ABW,Aruba,38979.8358245412,107310.0,10485.575836801583,9.257755861885345,10731.0,0.010815742661897887,-4.526752552318687
AW,p30p40,0.0427,ABW,Aruba,38979.8358245412,107310.0,16644.389897079094,9.71982849551213,10731.0,0.021680380330507565,-3.831347559644476
AW,p40p50,0.058,ABW,Aruba,38979.8358245412,107310.0,22608.304778233898,10.02607258582397,10731.0,0.045852939790526515,-3.082315964766371
AW,p50p60,0.0724,ABW,Aruba,38979.8358245412,107310.0,28221.401136967834,10.247835874669223,10731.0,0.24142242497038002,-1.4212070791469775
AW,p60p70,0.0853,ABW,Aruba,38979.8358245412,107310.0,33249.79995833364,10.411804029775185,10731.0,0.24142242497038002,-1.4212070791469775
AW,p70p80,0.0971,ABW,Aruba,38979.8358245412,107310.0,37849.42058562951,10.54137095057483,10731.0,0.24142242497038002,-1.4212070791469775
AW,p80p90,0.1186,ABW,Aruba,38979.8358245412,107310.0,46230.085287905866,10.741386061841176,10731.0,0.24142242497038002,-1.4212070791469775
AW,p90p100,0.4852,ABW,Aruba,38979.8358245412,107310.0,189130.16342067393,12.150190752347447,10731.0,0.24142242497038002,-1.4212070791469775
AZ,p0p10,0.0038,AZE,Azerbaijan,21051.2442291612,10141756.0,799.9472807081255,6.684545826381642,1014175.6000000001,0.0006502087870878803,-7.338217035747338
AZ,p10p20,0.0306,AZE,Azerbaijan,21051.2442291612,10141756.0,6441.680734123327,8.770544768607637,1014175.6000000001,0.005941432632150523,-5.125804990824012
AZ,p20p30,0.0489,AZE,Azerbaijan,21051.2442291612,10141756.0,10294.058428059827,9.239322156130129,1014175.6000000001,0.010556370747586419,-4.551025738981086
AZ,p30p40,0.056,AZE,Azerbaijan,21051.2442291612,10141756.0,11788.696768330272,9.374896450384451,1014175.6000000001,0.01267504741542591,-4.368119988649882
AZ,p40p50,0.064,AZE,Azerbaijan,21051.2442291612,10141756.0,13472.796306663167,9.508427843008974,1014175.6000000001,0.015364070532864815,-4.175723577721148
AZ,p50p60,0.0741,AZE,Azerbaijan,21051.2442291612,10141756.0,15598.971973808448,9.654960291951344,1014175.6000000001,0.019371057925501867,-3.9439751863534895
AZ,p60p70,0.0886,AZE,Azerbaijan,21051.2442291612,10141756.0,18651.402387036822,9.833676617260338,1014175.6000000001,0.027040515750189065,-3.610418954387606
AZ,p70p80,0.1086,AZE,Azerbaijan,21051.2442291612,10141756.0,22861.651232869062,10.037216167149138,1014175.6000000001,0.0479872371793002,-3.0368201955277296
AZ,p80p90,0.1432,AZE,Azerbaijan,21051.2442291612,10141756.0,30145.381736158834,10.313787014175848,1014175.6000000001,0.24142242497038002,-1.4212070791469775
AZ,p90p100,0.3822,AZE,Azerbaijan,21051.2442291612,10141756.0,80457.8554438541,11.295488791455474,1014175.6000000001,0.24142242497038002,-1.4212070791469775
BA,p0p10,0.0025,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,482.45492764112,6.178887502200365,320480.2,0.00038966082670399693,-7.850233872345342
BA,p10p20,0.0203,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,3917.534012445894,8.273217656373951,320480.2,0.003402879551220539,-5.683133278970611
BA,p20p30,0.0389,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,7506.998674095826,8.92359102095061,320480.2,0.007116059055270463,-4.945401210271098
BA,p30p40,0.0536,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,10343.833648625612,9.244145838402966,320480.2,0.010623461506111709,-4.5446903740808855
BA,p40p50,0.0669,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,12910.49386367637,9.465795737460393,320480.2,0.014425698196829817,-4.238744065899353
BA,p50p60,0.0814,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,15708.732443994866,9.661972043334705,320480.2,0.019601362203742978,-3.932156214969724
BA,p60p70,0.0986,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,19028.02234616577,9.8536680319348,320480.2,0.02822983062444462,-3.5673760365772953
BA,p70p80,0.1241,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,23949.062608105196,10.083684462536771,320480.2,0.06141688570682202,-2.790070470126015
BA,p80p90,0.1658,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,31996.410801159072,10.373379013027405,320480.2,0.24142242497038002,-1.4212070791469775
BA,p90p100,0.3479,BIH,Bosnia and Herzegovina,19298.1971056448,3204802.0,67138.42773053826,11.114511852484107,320480.2,0.24142242497038002,-1.4212070791469775
BB,p0p10,0.0013,BRB,Barbados,20716.2851304966,282318.0,269.31170669645576,5.595869469709916,28231.800000000003,0.00021659476798518984,-8.437482378882155
BB,p10p20,0.0124,BRB,Barbados,20716.2851304966,282318.0,2568.8193561815783,7.851201677853416,28231.800000000003,0.002166127370767601,-6.134814327530414
BB,p20p30,0.0269,BRB,Barbados,20716.2851304966,282318.0,5572.680700103586,8.625631491850218,28231.800000000003,0.005031211603502284,-5.292094448428552
BB,p30p40,0.0427,BRB,Barbados,20716.2851304966,282318.0,8845.853750722048,9.087704125477003,28231.800000000003,0.008695951072169916,-4.744897755654458
BB,p40p50,0.058,BRB,Barbados,20716.2851304966,282318.0,12015.445375688028,9.393948215788845,28231.800000000003,0.0130168440407753,-4.34151106476531
BB,p50p60,0.0724,BRB,Barbados,20716.2851304966,282318.0,14998.59043447954,9.615711504634096,28231.800000000003,0.0181561502098172,-4.0087459211341265
BB,p60p70,0.0853,BRB,Barbados,20716.2851304966,282318.0,17670.9912163136,9.779679659740058,28231.800000000003,0.024242035883722646,-3.719667132705449
BB,p70p80,0.0971,BRB,Barbados,20716.2851304966,282318.0,20115.5128617122,9.909246580539705,28231.800000000003,0.03212877312106266,-3.4380032914243053
BB,p80p90,0.1186,BRB,Barbados,20716.2851304966,282318.0,24569.514164768963,10.109261691806049,28231.800000000003,0.07802238427127917,-2.550759515625896
BB,p90p100,0.4852,BRB,Barbados,20716.2851304966,282318.0,100515.41545316951,11.51806638231232,28231.800000000003,0.24142242497038002,-1.4212070791469775
BD,p0p10,0.003,BGD,Bangladesh,7888.16389098304,169384897.0,236.6449167294912,5.466560776001088,16938489.7,0.0001901995509876464,-8.567436768593698
BD,p10p20,0.0238,BGD,Bangladesh,7888.16389098304,169384897.0,1877.3830060539635,7.537634068010407,16938489.7,0.001560073731642908,-6.463022194963934
BD,p20p30,0.0393,BGD,Bangladesh,7888.16389098304,169384897.0,3100.048409156335,8.039173006208193,16938489.7,0.0026443255656958264,-5.935339230800032
BD,p30p40,0.0477,BGD,Bangladesh,7888.16389098304,169384897.0,3762.65417599891,8.232879885227273,16938489.7,0.003256976457576277,-5.7269559809683015
BD,p40p50,0.0571,BGD,Bangladesh,7888.16389098304,169384897.0,4504.141581751315,8.412752603994942,16938489.7,0.003965177590578128,-5.530204635345226
BD,p50p60,0.0687,BGD,Bangladesh,7888.16389098304,169384897.0,5419.168593105348,8.59769768656128,16938489.7,0.004874575040731188,-5.323722349464014
BD,p60p70,0.0846,BGD,Bangladesh,7888.16389098304,169384897.0,6673.3866517716515,8.805882753945156,16938489.7,0.00619118593766288,-5.084628621353336
BD,p70p80,0.1066,BGD,Bangladesh,7888.16389098304,169384897.0,8408.782707787921,9.037031999064721,16938489.7,0.008166518289037028,-4.807712618953961
BD,p80p90,0.1453,BGD,Bangladesh,7888.16389098304,169384897.0,11461.502133598358,9.346749057909216,16938489.7,0.012191839952022776,-4.40698840741873
BD,p90p100,0.424,BGD,Bangladesh,7888.16389098304,169384897.0,33445.81489776809,10.417681942564936,16938489.7,0.24142242497038002,-1.4212070791469775
BE,p0p10,0.0035,BEL,Belgium,62561.7810453236,11680210.0,2189.662336586326,7.691502626715782,1168021.0,0.0018315603499718947,-6.302587025170675
BE,p10p20,0.0282,BEL,Belgium,62561.7810453236,11680210.0,17642.422254781253,9.778061636164482,1168021.0,0.024166109428231275,-3.722804064197615
BE,p20p30,0.0467,BEL,Belgium,62561.7810453236,11680210.0,29216.35174816612,10.282483822895266,1168021.0,0.24142242497038002,-1.4212070791469775
BE,p30p40,0.0567,BEL,Belgium,62561.7810453236,11680210.0,35472.52985269848,10.476513868954122,1168021.0,0.24142242497038002,-1.4212070791469775
BE,p40p50,0.0682,BEL,Belgium,62561.7810453236,11680210.0,42667.134672910695,10.661184223069831,1168021.0,0.24142242497038002,-1.4212070791469775
BE,p50p60,0.0833,BEL,Belgium,62561.7810453236,11680210.0,52113.96361075456,10.861188207393212,1168021.0,0.24142242497038002,-1.4212070791469775
BE,p60p70,0.101,BEL,Belgium,62561.7810453236,11680210.0,63187.39885577684,11.053860175061674,1168021.0,0.24142242497038002,-1.4212070791469775
BE,p70p80,0.1225,BEL,Belgium,62561.7810453236,11680210.0,76638.18178052142,11.246850688205196,1168021.0,0.24142242497038002,-1.4212070791469775
BE,p80p90,0.1608,BEL,Belgium,62561.7810453236,11680210.0,100599.34392088036,11.51890101496528,1168021.0,0.24142242497038002,-1.4212070791469775
BE,p90p100,0.3291,BEL,Belgium,62561.7810453236,11680210.0,205890.82142015998,12.23510131416971,1168021.0,0.24142242497038002,-1.4212070791469775
BF,p0p10,0.0023,BFA,Burkina Faso,2469.19956941259,22509038.0,56.791590096489564,4.039388253083371,2250903.8000000003,4.5483920493083474e-05,-9.998151690222773
BF,p10p20,0.0187,BFA,Burkina Faso,2469.19956941259,22509038.0,461.7403194801543,6.135002654008808,2250903.8000000003,0.0003727766168136748,-7.8945312002593
BF,p20p30,0.032,BFA,Burkina Faso,2469.19956941259,22509038.0,790.1438622120288,6.672215032947994,2250903.8000000003,0.0006421136807163164,-7.350745197182997
BF,p30p40,0.0404,BFA,Burkina Faso,2469.19956941259,22509038.0,997.5566260426863,6.905308915115372,2250903.8000000003,0.0008140723122738169,-7.113461360190173
BF,p40p50,0.0502,BFA,Burkina Faso,2469.19956941259,22509038.0,1239.53818384512,7.122494156845951,2250903.8000000003,0.0010165408490504513,-6.891349739721555
BF,p50p60,0.0612,BFA,Burkina Faso,2469.19956941259,22509038.0,1511.150136480505,7.320626319666547,2250903.8000000003,0.0012462226230106621,-6.687638204423467
BF,p60p70,0.0759,BFA,Burkina Faso,2469.19956941259,22509038.0,1874.1224731841555,7.535895814549852,2250903.8000000003,0.001557258114981197,-6.464828622746344
BF,p70p80,0.099,BFA,Burkina Faso,2469.19956941259,22509038.0,2444.507573718464,7.801598980282857,2250903.8000000003,0.002055828324233233,-6.187076434762088
BF,p80p90,0.1446,BFA,Burkina Faso,2469.19956941259,22509038.0,3570.4625773706052,8.180450439872931,2250903.8000000003,0.0030773671911051848,-5.783680855636151
BF,p90p100,0.4755,BFA,Burkina Faso,2469.19956941259,22509038.0,11741.043952556865,9.370846012133713,2250903.8000000003,0.012603947909476165,-4.373745187952189
BG,p0p10,0.0027,BGR,Bulgaria,32433.7937497005,6465097.0,875.7124312419136,6.775037762204414,646509.7000000001,0.0007128799584139589,-7.246197512995073
BG,p10p20,0.0212,BGR,Bulgaria,32433.7937497005,6465097.0,6875.964274936506,8.835787170872097,646509.7000000001,0.006412090781975799,-5.049569886197845
